Lebanese Taverna	Harbor East	719 S. President	0.1 miles	Upscale Lebanese food; good for lunch or dinner and plenty of space for large groups	$$$	
Cinghiale	Harbor East	822 Lancaster	0.1 miles	Upscale Italian fare and extensive wine list	$$$$	
Whole Foods	Harbor East	1001 Fleet	0.2 miles	Predictable grocery store fare; hot and cold food bars for a quick meal	$	
Gordon Biersch	Harbor East	1000 Lancaster	0.2 miles	New, large bar, good for watching sports or a quick beer near the conference hotel	$$	
McCormick & Schmick's	Inner Harbor	711 Eastern	0.2 miles		$$$	
Teavolve	Harbor East	1401 Aliceanna	0.3 miles	Great for working (free wifi), morning coffee, and lunch	$	
RA Sushi Bar Restaurant	Harbor East	1390 Lancaster	0.3 miles	Good lunch specials, great for large groups	$$	
Fleet Street Kitchen	Harbor East	1012 Fleet	0.3 miles	Upscale, beautiful interior serving excellent local meat and produce	$$$$	*
Vaccaro’s	Little Italy	222 Albemarle	0.3 miles	Italian bakery; stop by for a late night coffee and dessert	N/A	
Chiapperelli’s	Little Italy	237 S. High	0.3 miles	Our favorite restaurant in Little Italy. Good for lunch or dinner, and plenty of space for big groups.	$$	*
Heavy Seas Alehouse	Little Italy	1300 Bank	0.4 miles	Local brewpub (the brewery itself a few miles away); upscale bar food and outdoor beer garden	$$$	
My Thai	Little Italy	323 S.Central	0.4 miles	Solid Thai food, good for big groups	$$	
One-Eyed Mike’s	Fells Point	708 S Bond	0.4 miles	Small, cozy spot for a meal or drink.	$$	
Hard Rock Cafe	Inner Harbor	601 E Pratt	0.4 miles		$$	
Blu Bambu	Inner Harbor	621 E Pratt	0.4 miles		$$	
Ruth's Chris Steak House	Inner Harbor	711 Eastern	0.4 miles		$$$$	
Blue Moon Cafe	Fells Point	1621 Aliceanna	0.5 miles	Legendary-ish all-day (and -night) breakfast place. Long lines, delicious food	$	
Brick Oven Pizza	Fells Point	800 S. Broadway	0.5 miles	Pizza by the slice, byob eat-in	$	
Bertha’s	Fells Point	734 S. Broadway	0.5 miles	Touristy seafood restaurant with surprisingly great food. Eat Bertha’s mussels.	$$	
Sticky Rice	Fells Point	1634 Aliceanna	0.5 miles	Hipster Sushi. Come early for a great happy hour.	$$	
Phillips Seafood	Inner Harbor	601 E Pratt	0.5 miles		$$$	
Dick's Last Resort	Inner Harbor	621 E Pratt	0.5 miles		$$	
Fogo de Chao	Inner Harbor	600 E Pratt	0.5 miles		$$$	
Chipotle	Inner Harbor	621 E Pratt	0.5 miles		$	
The Capital Grille	Inner Harbor	500 E Pratt	0.5 miles		$$$$	
Birds of a Feather	Fells Point	1712 Aliceanna	0.6 miles	Quiet, local scotch bar	N/A	
Max’s Taphouse	Fells Point	737 S Broadway	0.6 miles	Bro taphouse. Over 100 beers on tap.	N/A	
The Horse You Came In On Saloon	Fells Point	1626 Thames	0.6 miles	Lively bar with live music everyday. Edgar Allan Poe had his last drink here before he was found dying on the side of a nearby street.	N/A	
Bond Street Social	Fells Point	901 S Bond	0.6 miles	Upscale bar/restaurant with great outdoor seating.	$$$	
Kooper’s Tavern	Fells Point	1702 Thames	0.6 miles	A favorite of locals and tourists alike! Bar/restaurant with excellent burgers and beer selection.	$$	*
Duda’s Tavern	Fells Point	1600 Thames	0.6 miles	Small bar/restaurant, local hangout, great crabcakes and friendly service.	$$	*
Mezze	Fells Point	1606 Thames	0.6 miles	Good tapas with some outdoor seating. Make a reservation for large groups.	$$$	
Bar	Fells Point	Lancaster	0.6 miles	Local favorite. The service is bad, beer is cheap, food is unavailable, and pool table is broken, but Bar is always a fun night out.	N/A	
Ruth's Chris Steak House	Inner Harbor	600 Water	0.6 miles		$$$$	
Thames Street Oyster House	Fells Point	1728 Thames	0.7 miles	Delicious but pricey seafood.	$$$	
Wharf Rat	Fells Point	801 S. Ann	0.7 miles	Exceptionally cozy bar that serves not-great bar food but has an excellent beer selection and a pool table in the back.	$	
Nanami	Fells Point	907 S. Ann	0.7 miles	Small, cozy sushi on the water.	$$	
